number,value,datetime_start,datetime_complete,duration,params_C,params_coef0,params_degree,params_gamma,params_kernel,state
33,0.5886064912625325,2026-03-26 08:45:16.720457,2026-03-26 08:45:26.220987,0 days 00:00:09.500530,131.75265228905843,3.0702907547070097,3.0,0.0002657960259988793,poly,COMPLETE
34,0.46529757777958936,2026-03-26 08:45:26.221645,2026-03-26 08:45:45.524254,0 days 00:00:19.302609,115.34035807264812,,,0.0003063539256434448,rbf,COMPLETE
35,0.45244508784112875,2026-03-26 08:45:45.525147,2026-03-26 08:46:00.938980,0 days 00:00:15.413833,19.151907460531433,3.1355976723881707,3.0,0.00024341543421002368,poly,COMPLETE
36,0.6190195793596067,2026-03-26 08:46:00.940850,2026-03-26 08:46:17.478356,0 days 00:00:16.537506,341.1573551544191,4.074136202529426,3.0,0.0005667258815155085,poly,COMPLETE
37,0.4831032655201543,2026-03-26 08:46:17.479120,2026-03-26 08:46:30.192950,0 days 00:00:12.713830,297.0643937540884,,,0.0006018501143897872,rbf,COMPLETE
38,0.6043378687554513,2026-03-26 08:46:30.193732,2026-03-26 08:46:40.125727,0 days 00:00:09.931995,48.31142155248901,4.350733917721277,3.0,0.00044061962220310876,poly,COMPLETE
39,0.3046200529192105,2026-03-26 08:46:40.126552,2026-03-26 08:46:54.528597,0 days 00:00:14.402045,4.317660421830842,,,0.0007780589621130471,sigmoid,COMPLETE
40,0.4598561771805703,2026-03-26 08:46:54.529381,2026-03-26 08:47:07.512831,0 days 00:00:12.983450,52.09414085814076,,,0.0005172850989131988,rbf,COMPLETE
41,0.6164383942801559,2026-03-26 08:47:07.513510,2026-03-26 08:47:19.318413,0 days 00:00:11.804903,139.94023381127357,4.220227524181637,3.0,0.000388640684793025,poly,COMPLETE
42,0.6112553072368231,2026-03-26 08:47:19.319145,2026-03-26 08:47:35.079235,0 days 00:00:15.760090,392.90773719535923,4.435979154951638,3.0,0.0004165052437167635,poly,COMPLETE
43,0.6378917973122333,2026-03-26 08:47:35.079897,2026-03-26 08:47:50.816507,0 days 00:00:15.736610,382.19812013677006,4.407721885314145,3.0,0.00047138571542039746,poly,COMPLETE
44,0.3138748616445779,2026-03-26 08:47:50.817197,2026-03-26 08:48:08.126792,0 days 00:00:17.309595,495.4358599315731,4.388688384256881,3.0,0.0016377456953632387,poly,COMPLETE
45,0.5679465447319038,2026-03-26 08:48:08.127465,2026-03-26 08:48:23.333998,0 days 00:00:15.206533,305.700805644226,3.8421213087380837,2.0,0.003959785737224822,poly,COMPLETE
46,0.6556862744613791,2026-03-26 08:48:23.334671,2026-03-26 08:48:36.422382,0 days 00:00:13.087711,432.60929324309194,4.572553683670094,3.0,0.00015715379292116755,poly,COMPLETE
47,0.5879009547523975,2026-03-26 08:48:36.423098,2026-03-26 08:48:48.858562,0 days 00:00:12.435464,743.4809763781429,4.655245424488183,2.0,0.00015963424702816664,poly,COMPLETE
48,0.25277645643657226,2026-03-26 08:48:48.859236,2026-03-26 08:49:00.341289,0 days 00:00:11.482053,0.18722033988054518,4.611051861767207,3.0,0.00010161190926873124,poly,COMPLETE
49,0.0967019834537745,2026-03-26 08:49:00.341965,2026-03-26 08:49:17.882277,0 days 00:00:17.540312,225.25432447501342,4.985646832178493,2.0,1.9629523071818848,poly,COMPLETE
