accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.767857,0.768315,0.769382,0.768696,0.767857,0.767824,0.767939,0.53701,131,127,34,44,365,0.5208,0.845182,0.496815,1,Fold1_2019,XGBoost,G3,2189
0.780415,0.800293,0.793,0.755046,0.780415,0.761459,0.771636,0.553493,179,84,59,15,366,0.5757,0.849831,0.50378,2,Fold2_2020,XGBoost,G3,2554
0.755952,0.756406,0.757465,0.75677,0.755952,0.755918,0.756039,0.513176,129,125,36,46,365,0.5208,0.832334,0.507085,3,Fold3_2021,XGBoost,G3,2920
0.6875,0.7152,0.711405,0.675188,0.6875,0.667192,0.672085,0.388332,74,157,21,84,365,0.4702,0.801806,0.579409,4,Fold4_2022,XGBoost,G3,3285
0.738095,0.749331,0.751143,0.741055,0.738095,0.736518,0.735911,0.490315,111,137,26,62,365,0.5149,0.825207,0.525545,5,Fold5_2023,XGBoost,G3,3650
0.780415,0.784437,0.786517,0.782891,0.780415,0.780321,0.780118,0.567326,128,135,26,48,366,0.5223,0.87133,0.465705,6,Fold6_2024,XGBoost,G3,4015
0.486154,0.487274,0.487322,0.48892,0.486154,0.470431,0.469027,-0.023749,107,51,114,53,354,0.4923,0.499886,0.922519,7,Fold7_2025,XGBoost,G3,4381
