accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.577381,0.634122,0.638216,0.589565,0.577381,0.544715,0.539634,0.219204,52,142,19,123,365,0.5208,0.689902,0.691796,1,Fold1_2019,RandomForest,G2,2189
0.676558,0.673759,0.674832,0.650133,0.676558,0.650511,0.66495,0.323029,160,68,75,34,366,0.5757,0.748937,0.6077,2,Fold2_2020,RandomForest,G2,2554
0.592262,0.658271,0.662986,0.604596,0.592262,0.559987,0.555021,0.257329,54,145,16,121,365,0.5208,0.7611,0.627258,3,Fold3_2021,RandomForest,G2,2920
0.568452,0.775542,0.762181,0.541139,0.568452,0.431313,0.447936,0.212937,13,178,0,145,365,0.4702,0.740933,0.682284,4,Fold4_2022,RandomForest,G2,3285
0.619048,0.633235,0.632143,0.613391,0.619048,0.601763,0.604232,0.245826,139,69,94,34,365,0.5149,0.659456,0.649108,5,Fold5_2023,RandomForest,G2,3650
0.694362,0.697412,0.699107,0.696534,0.694362,0.694265,0.694023,0.393946,114,120,41,62,366,0.5223,0.763022,0.596723,6,Fold6_2024,RandomForest,G2,4015
0.483077,0.480358,0.480544,0.481345,0.483077,0.475524,0.476493,-0.038284,59,98,67,101,354,0.4923,0.486364,0.737038,7,Fold7_2025,RandomForest,G2,4381
