accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.580357,0.710305,0.717641,0.595901,0.580357,0.522453,0.515524,0.284031,39,156,5,136,365,0.5208,0.796167,0.640809,1,Fold1_2019,RandomForest,G3,2189
0.744807,0.759407,0.7542,0.717684,0.744807,0.721755,0.733875,0.475264,174,77,66,20,366,0.5757,0.814974,0.560259,2,Fold2_2020,RandomForest,G3,2554
0.720238,0.724647,0.726462,0.722733,0.720238,0.71999,0.719643,0.447375,116,126,35,59,365,0.5208,0.811109,0.550449,3,Fold3_2021,RandomForest,G3,2920
0.666667,0.751449,0.743599,0.648059,0.666667,0.619771,0.62772,0.385898,53,171,7,105,365,0.4702,0.804366,0.606103,4,Fold4_2022,RandomForest,G3,3285
0.717262,0.717045,0.717181,0.716745,0.717262,0.716838,0.717164,0.433791,127,114,49,46,365,0.5149,0.798433,0.589328,5,Fold5_2023,RandomForest,G3,3650
0.780415,0.780432,0.780423,0.779185,0.780415,0.779559,0.780171,0.559617,142,121,40,34,366,0.5223,0.860778,0.532869,6,Fold6_2024,RandomForest,G3,4015
0.467692,0.468059,0.468091,0.469034,0.467692,0.464264,0.463604,-0.062899,89,63,102,71,354,0.4923,0.499621,0.731971,7,Fold7_2025,RandomForest,G3,4381
