accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.505952,0.460985,0.463218,0.488447,0.505952,0.387023,0.398273,-0.042461,159,11,150,16,365,0.5208,0.465555,0.70717,1,Fold1_2019,RandomForest,G0,2189
0.430267,0.481696,0.490772,0.495044,0.430267,0.349107,0.314324,-0.01905,13,132,11,181,366,0.5757,0.469577,0.776018,2,Fold2_2020,RandomForest,G0,2554
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.459308,0.880797,3,Fold3_2021,RandomForest,G0,2920
0.529762,0.264881,0.280648,0.5,0.529762,0.346304,0.366917,0.0,0,178,0,158,365,0.4702,0.515165,0.779123,4,Fold4_2022,RandomForest,G0,3285
0.511905,0.501166,0.501582,0.500479,0.511905,0.419591,0.42648,0.001494,153,19,144,20,365,0.5149,0.452339,0.729352,5,Fold5_2023,RandomForest,G0,3650
0.474777,0.472794,0.472696,0.494777,0.474777,0.357459,0.345238,-0.023841,8,152,9,168,366,0.5223,0.576616,0.751766,6,Fold6_2024,RandomForest,G0,4015
0.507692,0.253846,0.257751,0.5,0.507692,0.336735,0.341915,0.0,0,165,0,160,354,0.4923,0.532405,0.759734,7,Fold7_2025,RandomForest,G0,4381
