accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.770833,0.790403,0.794008,0.776025,0.770833,0.768866,0.767977,0.566246,114,145,16,61,365,0.5208,0.85913,0.51193,1,Fold1_2019,XGBoost,G5,2189
0.750742,0.77954,0.77053,0.719162,0.750742,0.722797,0.736116,0.495034,180,73,70,14,366,0.5757,0.849074,0.518991,2,Fold2_2020,XGBoost,G5,2554
0.75,0.751304,0.752609,0.751304,0.75,0.75,0.75,0.502609,126,126,35,49,365,0.5208,0.835492,0.504587,3,Fold3_2021,XGBoost,G5,2920
0.720238,0.733386,0.730857,0.711776,0.720238,0.710377,0.713558,0.444637,90,152,26,68,365,0.4702,0.820047,0.538419,4,Fold4_2022,XGBoost,G5,3285
0.693452,0.708834,0.710757,0.69717,0.693452,0.69009,0.689129,0.405837,99,134,29,74,365,0.5149,0.819639,0.544664,5,Fold5_2023,XGBoost,G5,3650
0.783383,0.786235,0.788095,0.785467,0.783383,0.783352,0.783238,0.571702,130,134,27,46,366,0.5223,0.873024,0.469774,6,Fold6_2024,XGBoost,G5,4015
0.513846,0.516703,0.516884,0.51572,0.513846,0.507462,0.5066,0.032408,102,65,100,58,354,0.4923,0.504167,0.848927,7,Fold7_2025,XGBoost,G5,4381
