accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.563407,0.700655,1,Fold1_2019,CNN-LSTM,G1,2189
0.424332,0.212166,0.180058,0.5,0.424332,0.297917,0.252831,0.0,0,143,0,194,366,0.5757,0.504073,0.717991,2,Fold2_2020,CNN-LSTM,G1,2554
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.538882,0.719175,3,Fold3_2021,CNN-LSTM,G1,2920
0.529762,0.264881,0.280648,0.5,0.529762,0.346304,0.366917,0.0,0,178,0,158,365,0.4702,0.491929,0.693963,4,Fold4_2022,CNN-LSTM,G1,3285
0.464286,0.416334,0.414658,0.476932,0.464286,0.355581,0.347704,-0.087864,9,147,16,164,365,0.5149,0.492482,0.698033,5,Fold5_2023,CNN-LSTM,G1,3650
0.477745,0.238872,0.22824,0.5,0.477745,0.323293,0.308903,0.0,0,161,0,176,366,0.5223,0.53642,0.699052,6,Fold6_2024,CNN-LSTM,G1,4015
0.507692,0.253846,0.257751,0.5,0.507692,0.336735,0.341915,0.0,0,165,0,160,354,0.4923,0.544659,0.697035,7,Fold7_2025,CNN-LSTM,G1,4381
