accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.696429,0.717623,0.72092,0.70236,0.696429,0.692495,0.691046,0.419706,98,136,25,77,365,0.5208,0.75583,0.617783,1,Fold1_2019,XGBoost,G2,2189
0.718101,0.72443,0.722074,0.691731,0.718101,0.694318,0.707221,0.414875,168,74,69,26,366,0.5757,0.804052,0.550212,2,Fold2_2020,XGBoost,G2,2554
0.744048,0.77832,0.782846,0.751056,0.744048,0.739159,0.737671,0.528673,102,148,13,73,365,0.5208,0.88614,0.510918,3,Fold3_2021,XGBoost,G2,2920
0.66369,0.749342,0.741484,0.644894,0.66369,0.615456,0.623562,0.380148,52,171,7,106,365,0.4702,0.809913,0.608339,4,Fold4_2022,XGBoost,G2,3285
0.669643,0.713163,0.710509,0.662523,0.669643,0.645903,0.648632,0.372258,156,69,94,17,365,0.5149,0.819497,0.557977,5,Fold5_2023,XGBoost,G2,3650
0.789318,0.790884,0.792451,0.790884,0.789318,0.789318,0.789318,0.581769,133,133,28,43,366,0.5223,0.875494,0.458317,6,Fold6_2024,XGBoost,G2,4015
0.501538,0.508,0.508185,0.505682,0.501538,0.464939,0.462786,0.013484,124,39,126,36,354,0.4923,0.485265,0.978071,7,Fold7_2025,XGBoost,G2,4381
