accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.520833,0.519663,0.520482,0.519627,0.520833,0.519604,0.520616,0.03929,96,79,82,79,365,0.5208,0.522555,0.694286,1,Fold1_2019,RandomForest,G1,2189
0.474777,0.520852,0.533979,0.51532,0.474777,0.455126,0.439466,0.035746,48,112,31,146,366,0.5757,0.537849,0.706498,2,Fold2_2020,RandomForest,G1,2554
0.485119,0.615964,0.621549,0.505466,0.485119,0.341303,0.328479,0.050352,3,160,1,172,365,0.5208,0.48362,0.743617,3,Fold3_2021,RandomForest,G1,2920
0.529762,0.51506,0.515957,0.500711,0.529762,0.357444,0.37725,0.006545,2,176,2,156,365,0.4702,0.577194,0.696147,4,Fold4_2022,RandomForest,G1,3285
0.526786,0.524578,0.524768,0.521667,0.526786,0.509543,0.51228,0.046153,120,57,106,53,365,0.5149,0.56119,0.687727,5,Fold5_2023,RandomForest,G1,3650
0.504451,0.54981,0.552479,0.521333,0.504451,0.432494,0.423499,0.065196,25,145,16,151,366,0.5223,0.566206,0.700444,6,Fold6_2024,RandomForest,G1,4015
0.523077,0.530585,0.530404,0.518182,0.523077,0.466304,0.468982,0.047163,32,138,27,128,354,0.4923,0.534394,0.702418,7,Fold7_2025,RandomForest,G1,4381
