accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.520833,0.260417,0.271267,0.5,0.520833,0.342466,0.356735,0.0,175,0,161,0,365,0.5208,0.450186,0.692867,1,Fold1_2019,XGBoost,G0,2189
0.439169,0.537592,0.554158,0.507371,0.439169,0.348029,0.311139,0.033293,11,137,6,183,366,0.5757,0.493512,0.719632,2,Fold2_2020,XGBoost,G0,2554
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.5,0.694431,3,Fold3_2021,XGBoost,G0,2920
0.529762,0.264881,0.280648,0.5,0.529762,0.346304,0.366917,0.0,0,178,0,158,365,0.4702,0.5,0.69189,4,Fold4_2022,XGBoost,G0,3285
0.514881,0.638889,0.643022,0.528192,0.514881,0.40386,0.396203,0.12515,14,159,4,159,365,0.5149,0.528051,0.692938,5,Fold5_2023,XGBoost,G0,3650
0.474777,0.437952,0.436263,0.496365,0.474777,0.331537,0.317763,-0.030036,2,158,3,174,366,0.5223,0.589268,0.714678,6,Fold6_2024,XGBoost,G0,4015
0.507692,0.253846,0.257751,0.5,0.507692,0.336735,0.341915,0.0,0,165,0,160,354,0.4923,0.5,0.693032,7,Fold7_2025,XGBoost,G0,4381
