accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.571429,0.735548,0.744186,0.588075,0.571429,0.501299,0.493506,0.288068,33,159,2,142,365,0.5208,0.799361,0.656364,1,Fold1_2019,RandomForest,G5,2189
0.72997,0.746406,0.740928,0.700202,0.72997,0.702738,0.716354,0.444212,174,72,71,20,366,0.5757,0.799185,0.575499,2,Fold2_2020,RandomForest,G5,2554
0.708333,0.715219,0.717315,0.711553,0.708333,0.70767,0.70709,0.426756,111,127,34,64,365,0.5208,0.801633,0.568788,3,Fold3_2021,RandomForest,G5,2920
0.684524,0.769301,0.76115,0.66669,0.684524,0.643483,0.650684,0.423745,58,172,6,100,365,0.4702,0.819194,0.603977,4,Fold4_2022,RandomForest,G5,3285
0.720238,0.720157,0.720561,0.720345,0.720238,0.720149,0.720298,0.440502,124,118,45,49,365,0.5149,0.804887,0.602976,5,Fold5_2023,RandomForest,G5,3650
0.78635,0.786011,0.786737,0.786455,0.78635,0.786122,0.786433,0.572466,138,127,34,38,366,0.5223,0.858131,0.54457,6,Fold6_2024,RandomForest,G5,4015
0.48,0.480757,0.480824,0.481345,0.48,0.476651,0.476006,-0.037894,91,65,100,69,354,0.4923,0.495265,0.729494,7,Fold7_2025,RandomForest,G5,4381
