accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.517857,0.487273,0.488636,0.498385,0.517857,0.36707,0.379942,-0.009067,169,5,156,6,365,0.5208,0.483656,0.693038,1,Fold1_2019,XGBoost,G1,2189
0.540059,0.532966,0.543929,0.533415,0.540059,0.532803,0.541614,0.066379,112,70,73,82,366,0.5757,0.56483,0.685548,2,Fold2_2020,XGBoost,G1,2554
0.494048,0.509115,0.510202,0.506087,0.494048,0.454941,0.448858,0.014897,38,128,33,137,365,0.5208,0.493594,0.722341,3,Fold3_2021,XGBoost,G1,2920
0.517857,0.429012,0.434708,0.490186,0.517857,0.362175,0.380932,-0.052788,4,170,8,154,365,0.4702,0.458541,0.693299,4,Fold4_2022,XGBoost,G1,3285
0.556548,0.556726,0.556707,0.55252,0.556548,0.54609,0.548141,0.109164,119,68,95,54,365,0.5149,0.55619,0.691758,5,Fold5_2023,XGBoost,G1,3650
0.534125,0.539223,0.540519,0.538096,0.534125,0.532131,0.530771,0.077311,79,101,60,97,366,0.5223,0.547678,0.694779,6,Fold6_2024,XGBoost,G1,4015
0.523077,0.528347,0.528209,0.518561,0.523077,0.475375,0.477809,0.045875,36,134,31,124,354,0.4923,0.532841,0.697467,7,Fold7_2025,XGBoost,G1,4381
