accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.590417,0.703536,1,Fold1_2019,CNN-LSTM,G2,2189
0.47181,0.549512,0.566233,0.525611,0.47181,0.428269,0.404392,0.07122,33,126,17,161,366,0.5757,0.530784,0.707541,2,Fold2_2020,CNN-LSTM,G2,2554
0.491071,0.517927,0.519373,0.507205,0.491071,0.412317,0.403353,0.02273,21,144,17,154,365,0.5208,0.499805,0.722628,3,Fold3_2021,CNN-LSTM,G2,2920
0.529762,0.264881,0.280648,0.5,0.529762,0.346304,0.366917,0.0,0,178,0,158,365,0.4702,0.504445,0.695842,4,Fold4_2022,CNN-LSTM,G2,3285
0.491071,0.509046,0.509707,0.503121,0.491071,0.399843,0.392879,0.010626,17,148,15,156,365,0.5149,0.518316,0.694161,5,Fold5_2023,CNN-LSTM,G2,3650
0.495549,0.54629,0.548998,0.514134,0.495549,0.402482,0.391986,0.051157,17,150,11,159,366,0.5223,0.547537,0.69332,6,Fold6_2024,CNN-LSTM,G2,4015
0.507692,0.253846,0.257751,0.5,0.507692,0.336735,0.341915,0.0,0,165,0,160,354,0.4923,0.525644,0.700963,7,Fold7_2025,CNN-LSTM,G2,4381
