accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.511905,0.529365,0.530837,0.522236,0.511905,0.485586,0.480738,0.051106,48,124,37,127,365,0.5208,0.548962,0.700419,1,Fold1_2019,CNN-LSTM,G0,2189
0.430267,0.474277,0.482621,0.490448,0.430267,0.363701,0.332555,-0.031351,18,127,16,176,366,0.5757,0.475236,0.754331,2,Fold2_2020,CNN-LSTM,G0,2554
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.528607,0.701,3,Fold3_2021,CNN-LSTM,G0,2920
0.529762,0.264881,0.280648,0.5,0.529762,0.346304,0.366917,0.0,0,178,0,158,365,0.4702,0.525441,0.691324,4,Fold4_2022,CNN-LSTM,G0,3285
0.485119,0.24256,0.23534,0.5,0.485119,0.326653,0.316931,0.0,0,163,0,173,365,0.5149,0.472357,0.696766,5,Fold5_2023,CNN-LSTM,G0,3650
0.477745,0.238872,0.22824,0.5,0.477745,0.323293,0.308903,0.0,0,161,0,176,366,0.5223,0.533456,0.699975,6,Fold6_2024,CNN-LSTM,G0,4015
0.507692,0.253846,0.257751,0.5,0.507692,0.336735,0.341915,0.0,0,165,0,160,354,0.4923,0.516591,0.693189,7,Fold7_2025,CNN-LSTM,G0,4381
