accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.5463,0.718216,1,Fold1_2019,DualEncoder,G3,2189
0.480712,0.493769,0.505055,0.493818,0.480712,0.480639,0.479706,-0.012413,79,83,60,115,366,0.5757,0.49571,0.691073,2,Fold2_2020,DualEncoder,G3,2554
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.500905,0.705304,3,Fold3_2021,DualEncoder,G3,2920
0.529762,0.264881,0.280648,0.5,0.529762,0.346304,0.366917,0.0,0,178,0,158,365,0.4702,0.531148,0.693251,4,Fold4_2022,DualEncoder,G3,3285
0.464286,0.465455,0.465561,0.46913,0.464286,0.452154,0.449728,-0.065312,53,103,60,120,365,0.5149,0.486578,0.696999,5,Fold5_2023,DualEncoder,G3,3650
0.477745,0.238872,0.22824,0.5,0.477745,0.323293,0.308903,0.0,0,161,0,176,366,0.5223,0.504253,0.696145,6,Fold6_2024,DualEncoder,G3,4015
0.507692,0.253846,0.257751,0.5,0.507692,0.336735,0.341915,0.0,0,165,0,160,354,0.4923,0.470701,0.693498,7,Fold7_2025,DualEncoder,G3,4381
