accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.583283,0.699456,1,Fold1_2019,CNN-LSTM,G3,2189
0.424332,0.212166,0.180058,0.5,0.424332,0.297917,0.252831,0.0,0,143,0,194,366,0.5757,0.476912,0.700096,2,Fold2_2020,CNN-LSTM,G3,2554
0.479167,0.239583,0.229601,0.5,0.479167,0.323944,0.310446,0.0,0,161,0,175,365,0.5208,0.49984,0.713042,3,Fold3_2021,CNN-LSTM,G3,2920
0.529762,0.264881,0.280648,0.5,0.529762,0.346304,0.366917,0.0,0,178,0,158,365,0.4702,0.497155,0.694496,4,Fold4_2022,CNN-LSTM,G3,3285
0.514881,0.546296,0.547674,0.525001,0.514881,0.457823,0.452588,0.068043,32,141,22,141,365,0.5149,0.515196,0.69441,5,Fold5_2023,CNN-LSTM,G3,3650
0.477745,0.238872,0.22824,0.5,0.477745,0.323293,0.308903,0.0,0,161,0,176,366,0.5223,0.546725,0.696436,6,Fold6_2024,CNN-LSTM,G3,4015
0.492308,0.487374,0.487568,0.489299,0.492308,0.47047,0.472124,-0.023247,47,113,52,113,354,0.4923,0.481856,0.694169,7,Fold7_2025,CNN-LSTM,G3,4381
