accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,mcc,tp,tn,fp,fn,n_test,class_1_ratio,roc_auc,log_loss,fold,fold_label,model,group,n_train
0.556548,0.664966,0.670989,0.572298,0.556548,0.492946,0.485463,0.218419,34,153,8,141,365,0.5208,0.695723,0.702167,1,Fold1_2019,RandomForest,G4,2189
0.68546,0.691079,0.68923,0.654189,0.68546,0.65305,0.669098,0.343291,167,64,79,27,366,0.5757,0.735239,0.618229,2,Fold2_2020,RandomForest,G4,2554
0.616071,0.678444,0.683295,0.627453,0.616071,0.591121,0.586913,0.301617,62,145,16,113,365,0.5208,0.769264,0.62213,3,Fold3_2021,RandomForest,G4,2920
0.592262,0.742958,0.73242,0.567167,0.592262,0.485601,0.499544,0.25549,23,176,2,135,365,0.4702,0.744382,0.657521,4,Fold4_2022,RandomForest,G4,3285
0.60119,0.600682,0.600965,0.600482,0.60119,0.600497,0.600992,0.201164,108,94,69,65,365,0.5149,0.668712,0.65317,5,Fold5_2023,RandomForest,G4,3650
0.661721,0.662087,0.663185,0.662373,0.661721,0.661647,0.66187,0.32446,114,109,52,62,366,0.5223,0.74393,0.606602,6,Fold6_2024,RandomForest,G4,4015
0.443077,0.440402,0.440664,0.441856,0.443077,0.438912,0.439656,-0.117733,58,86,79,102,354,0.4923,0.464735,0.738271,7,Fold7_2025,RandomForest,G4,4381
