feature,combined_rank,f_rank,mi_rank,boruta_rank,rfe_rank,rf_rank,xgb_rank,shap_rank,in_g3
SplyAct1yr,261.7,33.0,81.0,1016.0,8.0,180.0,28.0,98.0,False
DX,261.90000000000003,103.0,135.0,1009.0,2.0,59.0,113.0,68.0,False
STOCHRSI_K,266.40000000000003,162.0,293.5,1018.0,1.0,36.0,66.0,12.0,False
TxTfrValAdjNtv,269.90000000000003,172.0,42.0,1025.0,1.0,141.0,35.0,113.0,False
NVT_Golden_Cross,271.0,136.0,61.0,1105.0,7.0,99.0,85.0,11.0,False
AdrActCnt_chg7,272.65,220.0,131.0,1007.0,3.0,77.0,96.0,65.0,False
Trading_Volume__KYC_VS._Non_KYC,274.50000000000006,71.0,75.0,1040.0,7.0,97.0,140.0,102.0,False
SplyAct1d,274.65000000000003,84.0,293.5,1003.0,5.0,61.0,123.0,53.0,False
Exchange_Outflow__Mean_All_Exchanges,276.55,256.0,8.0,1046.0,4.0,80.0,116.0,73.0,False
Oil_Returns,276.6,81.0,31.0,1063.0,14.0,154.0,100.0,84.0,False
MACD_Hist,277.4,325.0,118.0,1014.0,4.0,48.0,89.0,61.0,False
NVM_Ratio,277.74999999999994,165.0,293.5,1005.0,8.0,43.0,27.0,128.0,False
TxTfrValMedNtv,278.8,41.0,85.0,1043.0,3.0,156.0,122.0,103.0,False
Miners'_Position_Index__MPI,279.05,37.0,293.5,1032.0,1.0,74.0,127.0,62.0,False
Sum_Coin_Age_Distribution,280.0,132.0,111.0,1037.0,7.0,153.0,117.0,45.0,False
SplyAct7d,280.30000000000007,62.0,43.0,1061.0,1.0,119.0,115.0,149.0,False
WTI_Oil,281.04999999999995,30.0,27.0,1127.0,30.0,83.0,144.0,76.0,False
Dollar_Index_Returns,281.75,44.0,293.5,1012.0,3.0,49.0,185.0,67.0,False
STOCHRSI_D,283.15,312.0,24.0,1043.0,13.0,78.0,146.0,36.0,False
Vol_30d,289.0,264.0,167.0,1063.0,4.0,123.0,15.0,80.0,False
Volume,290.1,210.0,82.0,1054.0,5.0,172.0,107.0,50.0,True
VtyDayRet30d,290.45,227.0,9.0,1035.0,29.0,106.0,181.0,83.0,False
Trading_Volume__Spot_VS._Derivative,291.30000000000007,90.0,150.0,1029.0,16.0,95.0,180.0,119.0,False
Puell,291.75,39.0,293.5,1012.0,10.0,90.0,177.0,97.0,False
"Miner_Outflow__Mean,_MA7_All_Miners",292.25,56.0,293.5,1048.0,6.0,62.0,157.0,93.0,False
FlowInExNtv,293.15000000000003,222.0,22.0,1034.0,2.0,127.0,214.0,70.0,False
HT_LEADSINE,293.2,60.0,120.0,1079.0,13.0,175.0,153.0,55.0,False
NVT_z_365,294.84999999999997,319.0,293.5,1012.0,13.0,45.0,110.0,40.0,False
"Exchange_to_Miner_Flow__Mean_All_Exchanges,_All_Miners",295.2,232.0,149.0,1020.0,6.0,87.0,170.0,91.0,False
Exchange_In_House_Flow__Total_All_Exchanges,295.3,119.0,214.0,1091.0,8.0,111.0,143.0,30.0,False
Exchange_Inflow_CDD_All_Exchanges,295.5,91.0,293.5,1046.0,9.0,54.0,205.0,51.0,False
Spent_Output_Value_Bands,296.05,160.0,11.0,1103.0,16.0,191.0,72.0,110.0,False
Exchange_Netflow__Total_All_Exchanges,296.94999999999993,287.0,293.5,1007.0,1.0,63.0,90.0,96.0,False
Exchange_Inflow_Spent_Output_Age_Bands_pct_All_Exchanges,297.35,193.0,293.5,1029.0,5.0,81.0,101.0,99.0,False
SplyAct30d,297.70000000000005,159.0,97.0,1116.0,16.0,108.0,108.0,94.0,False
Gold_Returns,298.20000000000005,55.0,202.0,1022.0,11.0,136.0,160.0,147.0,False
"Miner_to_Exchange_Flow__Mean_All_Miners,_All_Exchanges",298.49999999999994,127.0,13.0,1091.0,8.0,160.0,126.0,148.0,False
BlkCnt,298.90000000000003,110.0,57.0,1162.0,30.0,113.0,154.0,35.0,False
ROI1yr,299.4,184.0,293.5,1055.0,1.0,92.0,120.0,58.0,False
Exchange_Whale_Ratio_All_Exchanges,299.40000000000003,314.0,59.0,1018.0,3.0,88.0,114.0,185.0,False
NVT_90d,299.85,109.0,217.0,1076.0,18.0,174.0,92.0,63.0,False
Tx_per_ActiveAddr,299.8999999999999,58.0,293.5,1110.0,26.0,93.0,95.0,71.0,False
FlowTfrFromExCnt,301.2,187.0,38.0,1122.0,8.0,132.0,184.0,38.0,False
TxValue_to_MktCap,301.25,76.0,293.5,1020.0,4.0,143.0,54.0,201.0,False
Miner_Inflow__Total_All_Miners,301.85,121.0,77.0,1120.0,17.0,118.0,128.0,124.0,False
Industrial_Production,303.175,24.0,166.0,1014.0,11.0,76.0,303.5,152.0,False
Miner_Outflow__Mean_All_Miners,303.3,95.0,293.5,1056.0,1.0,58.0,188.0,108.0,False
AROON_DOWN,304.75,52.0,39.0,1182.0,17.0,131.0,222.0,25.0,False
Miner_Inflow__Top10_All_Miners,304.85,186.0,33.0,1072.0,5.0,251.0,62.0,139.0,False
HT_INPHASE,305.44999999999993,323.0,60.0,1050.0,13.0,201.0,111.0,56.0,False
Fees_per_Transaction__Median,305.5,47.0,160.0,1031.0,16.0,207.0,11.0,290.0,False
Exchange_Depositing_Addresses_All_Exchanges,306.75000000000006,169.0,188.0,1116.0,17.0,116.0,57.0,129.0,False
Spent_Output_Age_Bands,306.79999999999995,269.0,293.5,1036.0,1.0,56.0,86.0,146.0,False
Miner_Netflow_Total_All_Miners,308.95000000000005,324.0,79.0,1098.0,9.0,110.0,136.0,72.0,False
BB_Width_20,309.59999999999997,88.0,293.5,1067.0,4.0,152.0,105.0,126.0,False
Fund_Flow_Ratio_All_Exchanges,309.75000000000006,78.0,293.5,1069.0,7.0,138.0,195.0,52.0,False
AdrBalNtv100Cnt,310.15000000000003,212.0,88.0,1100.0,19.0,168.0,24.0,190.0,False
NVTAdj90,310.55,223.0,293.5,1038.0,10.0,130.0,125.0,77.0,False
TRANGE,310.55000000000007,179.0,293.5,1042.0,6.0,124.0,172.0,64.0,False
HT_DCPHASE,311.04999999999995,166.0,168.0,1065.0,19.0,120.0,206.0,86.0,False
NVT_Ratio,311.25000000000006,209.0,293.5,1059.0,11.0,79.0,169.0,69.0,False
Fees_to_Reward_Ratio,311.40000000000003,151.0,201.0,1093.0,6.0,185.0,32.0,161.0,False
"Exchange_Inflow__Mean,_MA7_All_Exchanges",311.6,134.0,80.0,1145.0,22.0,206.0,69.0,111.0,False
"Miner_to_Exchange_Flow__Total_All_Miners,_All_Exchanges",311.7,170.0,115.0,1116.0,11.0,171.0,175.0,43.0,False
Exchange_Token_Transferred_Ratio__KYC_VS._Non_KYC,311.70000000000005,45.0,36.0,1101.0,20.0,214.0,133.0,189.0,False
BETA,311.70000000000005,302.0,212.0,1096.0,10.0,94.0,147.0,23.0,False
CDL_HARAMI,313.05,29.0,130.0,1194.0,12.0,212.0,10.0,155.0,False
NetExFlow_to_RealCap,313.15000000000003,252.0,293.5,1068.0,14.0,82.0,156.0,48.0,False
ADXR,313.8,167.0,170.0,1126.0,16.0,163.0,60.0,127.0,False
Exchange_Inflow_Spent_Output_Age_Bands_All_Exchanges,313.95000000000005,245.0,122.0,1033.0,12.0,137.0,215.0,107.0,False
MINUS_DM,314.05,100.0,293.5,1060.0,1.0,189.0,23.0,205.0,False
Trading_Volume_Ratio__Spot_VS._Derivative,314.2,96.0,41.0,1165.0,24.0,236.0,30.0,160.0,False
SplyMiner1HopAllNtv,314.65,225.0,55.0,1056.0,5.0,162.0,46.0,290.0,False
U.S._to_The_Rest_Reserve_Ratio,315.425,28.0,183.0,1010.0,4.0,134.0,303.5,174.0,False
TxTfrValAdjUSD,315.7,94.0,147.0,1113.0,10.0,182.0,102.0,166.0,False
HT_DCPERIOD,316.09999999999997,268.0,221.0,1066.0,15.0,126.0,131.0,88.0,False
Exchange_Reserve_Ratio__U.S._vs._Off_Shore,316.1,149.0,293.5,1108.0,2.0,190.0,8.0,135.0,False
HT_SINE,316.34999999999997,216.0,293.5,1087.0,1.0,57.0,216.0,46.0,False
SplyAct3yr,316.4,87.0,195.0,1024.0,15.0,145.0,106.0,290.0,False
UTXO_Age_Bands,316.5,140.0,139.0,1005.0,10.0,53.0,231.0,290.0,False
Gold_Close,316.90000000000003,124.0,40.0,1111.0,17.0,128.0,199.0,178.0,False
FlowOutExNtv,317.35,182.0,293.5,1085.0,9.0,91.0,210.0,42.0,False
Miner_In_House_Flow__Mean_All_Miners,317.5,125.0,293.5,1052.0,6.0,89.0,50.0,290.0,False
AdrBal1in1MCnt,318.55,276.0,69.0,1025.0,17.0,117.0,103.0,290.0,False
"Exchange_to_Miner_Flow__Total_All_Exchanges,_All_Miners",318.8500000000001,272.0,66.0,1051.0,12.0,125.0,150.0,212.0,False
Velocity,320.15000000000003,63.0,293.5,1103.0,15.0,167.0,94.0,150.0,False
SplyAdrBalNtv10K,320.55,107.0,63.0,1106.0,18.0,165.0,234.0,132.0,False
NATR,320.90000000000003,318.0,29.0,1083.0,10.0,135.0,104.0,215.0,False
UTXO_Count_Age_Bands_pct,320.95000000000005,89.0,293.5,1058.0,1.0,101.0,178.0,194.0,False
Sum_Coin_Age_Distribution_pct,321.2,51.0,87.0,1045.0,10.0,129.0,227.0,290.0,False
NASDAQ_Close,321.34999999999997,79.0,177.0,1139.0,13.0,149.0,81.0,210.0,False
InflowOutflowRatio,322.1,224.0,293.5,1072.0,4.0,84.0,204.0,81.0,False
NetExFlowUSD,322.15,208.0,68.0,1097.0,7.0,213.0,158.0,123.0,False
Miner_In_House_Flow__Total_All_Miners,322.79999999999995,207.0,126.0,1062.0,4.0,151.0,228.0,131.0,False
SplyAdrBal1in1K,323.8,153.0,185.0,1138.0,6.0,197.0,77.0,136.0,False
"Miner_to_Exchange_Transactions_All_Miners,_All_Exchanges",324.80000000000007,251.0,124.0,1144.0,9.0,200.0,142.0,39.0,False
VIX_Close,325.6000000000001,101.0,293.5,1166.0,9.0,85.0,129.0,130.0,False
ATR_14,326.025,92.0,99.0,1040.0,3.0,184.0,303.5,169.0,False
"Miner_Inflow__Mean,_MA7_All_Miners",326.25,35.0,293.5,1089.0,5.0,86.0,237.0,176.0,False
Miner_Outflow__Total_All_Miners,326.45000000000005,138.0,121.0,1118.0,21.0,158.0,192.0,142.0,False
VIX,326.7,178.0,49.0,1190.0,15.0,218.0,74.0,133.0,False
TxTfrValMedUSD,326.8,171.0,103.0,1155.0,17.0,103.0,149.0,187.0,False
Exchange_Reserve_Ratio__KYC_vs._Non_KYC,327.05000000000007,102.0,206.0,1089.0,19.0,115.0,225.0,164.0,False
TxTfrValMeanNtv,327.57500000000005,57.0,152.0,1083.0,19.0,164.0,303.5,114.0,False
Treasury_20Y_Returns,328.45,205.0,100.0,1174.0,18.0,215.0,141.0,47.0,False
Fees_per_Transaction__Mean,328.47499999999997,46.0,134.0,1027.0,3.0,196.0,303.5,198.0,False
Tokens_Transferred__Mean,328.95,128.0,293.5,1131.0,8.0,203.0,98.0,95.0,False
Exchange_Inflow_Spent_Output_Value_Bands_pct_All_Exchanges,329.0,316.0,216.0,1070.0,9.0,98.0,218.0,87.0,False
Exchange_Miner_Supply,329.25000000000006,122.0,154.0,1149.0,23.0,238.0,19.0,199.0,False
Capacity_Utilization,329.3,26.0,293.5,1039.0,21.0,250.0,217.0,109.0,False
Miner_Outflow__Top10_All_Miners,329.65000000000003,192.0,293.5,1134.0,8.0,114.0,155.0,85.0,False
Miner_Selling_Power__log_scaled,329.70000000000005,120.0,293.5,1168.0,12.0,112.0,41.0,200.0,False
HashRate30d,330.40000000000003,219.0,164.0,1075.0,1.0,221.0,2.0,290.0,False
Miner_Withdrawing_Addresses_All_Miners,330.65000000000003,203.0,197.0,1106.0,12.0,146.0,134.0,171.0,False
Exchange_In_House_Transactions_All_Exchanges,331.05,310.0,34.0,1139.0,7.0,51.0,209.0,192.0,False
