feature,combined_rank,f_rank,mi_rank,boruta_rank,rfe_rank,rf_rank,xgb_rank,shap_rank,in_g3
CDLSHORTLINE,412.875,198.0,165.0,1215.0,25.0,272.0,303.5,290.0,False
CDL_MORNINGSTAR,414.55,77.0,175.0,1238.0,24.0,327.5,303.5,290.0,False
Google_Trends_Bitcoin,414.575,321.0,119.0,1203.0,20.0,253.0,303.5,290.0,False
HashRibbon_GT,415.82500000000005,301.0,53.0,1229.0,22.0,282.0,303.5,290.0,False
HashRibbon_CrossDown,416.325,305.0,44.0,1231.0,20.0,288.0,303.5,290.0,False
M2_Velocity,417.47499999999997,263.0,184.0,1205.0,20.0,265.0,303.5,290.0,False
CDLMARUBOZU,417.625,281.0,91.0,1226.0,27.0,281.0,303.5,290.0,False
CDLLONGLINE,418.3,236.0,293.5,1211.0,23.0,273.0,235.0,290.0,False
CDL3OUTSIDE,418.97499999999997,286.0,72.0,1230.0,31.0,290.0,303.5,290.0,False
CDL_EVENINGSTAR,419.3,40.0,293.5,1221.0,24.0,327.5,303.5,290.0,False
PlusToken_Reserve_Analysis,421.75,250.0,141.0,1209.0,18.0,327.5,303.5,290.0,False
CDLHAMMER,423.1,177.0,179.0,1225.0,29.0,327.5,303.5,290.0,False
CDLCLOSINGMARUBOZU,423.22499999999997,191.0,293.5,1215.0,28.0,257.0,303.5,290.0,False
CDL3LINESTRIKE,423.62499999999994,185.0,203.0,1242.0,31.0,285.0,303.5,290.0,False
CDLRICKSHAWMAN,424.22499999999997,283.0,293.5,1222.0,26.0,283.0,303.5,202.0,False
HT_TRENDMODE,424.575,237.0,209.0,1220.0,21.0,292.0,303.5,290.0,False
Exchange_Shutdown_Index_All_Exchanges,425.5,231.0,62.0,1273.0,23.0,327.5,303.5,290.0,False
CDLHIKKAKE,426.2,307.0,293.5,1212.0,24.0,278.0,233.0,290.0,False
CDLMORNINGSTAR,426.75,152.0,143.0,1273.0,30.0,327.5,303.5,290.0,False
CDLHANGINGMAN,427.25,293.0,84.0,1236.0,28.0,327.5,303.5,290.0,False
CDLMATCHINGLOW,428.74999999999994,255.0,144.0,1234.0,26.0,327.5,303.5,290.0,False
CDL_SHOOTINGSTAR,428.84999999999997,115.0,293.5,1232.0,23.0,327.5,303.5,290.0,False
HashRibbon_CrossUp,429.0,306.0,89.0,1241.0,21.0,327.5,303.5,290.0,False
CDLHARAMI,429.775,278.0,224.0,1215.0,28.0,289.0,303.5,290.0,False
CDLTRISTAR,431.4,271.0,78.0,1273.0,25.0,327.5,303.5,290.0,False
CDL_3BLACKCROWS,431.40000000000003,240.5,110.0,1273.0,24.0,327.5,303.5,290.0,False
CDLGAPSIDESIDEWHITE,432.05,214.0,137.0,1273.0,28.0,327.5,303.5,290.0,False
CDLRISEFALL3METHODS,432.95000000000005,173.0,193.0,1273.0,24.0,327.5,303.5,290.0,False
CDLHIKKAKEMOD,433.05,137.0,293.5,1239.0,27.0,327.5,303.5,290.0,False
CDLTASUKIGAP,434.9,240.5,142.0,1273.0,26.0,327.5,303.5,290.0,False
CDL_3WHITESOLDIERS,435.55,97.0,293.5,1273.0,25.0,327.5,303.5,290.0,False
CDLINVERTEDHAMMER,435.8,235.0,155.0,1273.0,27.0,327.5,303.5,290.0,False
CDL3WHITESOLDIERS,435.97499999999997,229.0,293.5,1235.0,31.0,287.0,303.5,290.0,False
CDLEVENINGSTAR,437.42500000000007,175.0,293.5,1273.0,29.0,284.0,303.5,290.0,False
CDLHIGHWAVE,437.675,311.0,293.5,1213.0,27.0,277.0,303.5,290.0,False
CDLXSIDEGAP3METHODS,439.05,282.0,211.0,1240.0,24.0,327.5,303.5,290.0,False
CDLUNIQUE3RIVER,439.2,229.0,198.0,1273.0,25.0,327.5,303.5,290.0,False
CDLSTICKSANDWICH,439.9,240.5,192.0,1273.0,26.0,327.5,303.5,290.0,False
CDLEVENINGDOJISTAR,439.95000000000005,189.0,293.5,1246.0,29.0,327.5,303.5,290.0,False
CDLDOJISTAR,440.075,266.0,293.5,1237.0,27.0,291.0,303.5,290.0,False
CDLADVANCEBLOCK,441.72499999999997,303.0,293.5,1232.0,31.0,280.0,303.5,290.0,False
CDLHARAMICROSS,442.6,259.0,293.5,1228.0,24.0,327.5,303.5,290.0,False
CDL_PIERCING,443.65,181.0,293.5,1273.0,23.0,327.5,303.5,290.0,False
CDLMORNINGDOJISTAR,447.7,217.0,293.5,1273.0,26.0,327.5,303.5,290.0,False
CDLSTALLEDPATTERN,448.85,284.0,293.5,1246.0,25.0,327.5,303.5,290.0,False
CDLLADDERBOTTOM,449.5,229.0,293.5,1273.0,30.0,327.5,303.5,290.0,False
CDLHOMINGPIGEON,450.2,240.5,293.5,1273.0,27.0,327.5,303.5,290.0,False
CDLSHOOTINGSTAR,451.55,315.0,293.5,1244.0,25.0,327.5,303.5,290.0,False
CDL3INSIDE,452.09999999999997,317.0,293.5,1242.0,30.0,327.5,303.5,290.0,False
CG_BTC_Dominance,458.15,326.0,293.5,1273.0,23.0,327.5,303.5,290.0,False
AdrBalNtv1MCnt,,,156.0,1273.0,31.0,327.5,303.5,290.0,False
CDL2CROWS,,,194.0,1273.0,31.0,327.5,303.5,290.0,False
CDL3BLACKCROWS,,,52.0,1273.0,31.0,327.5,303.5,290.0,False
CDL3STARSINSOUTH,,,21.0,1273.0,31.0,327.5,303.5,290.0,False
CDLABANDONEDBABY,,,293.5,1273.0,31.0,327.5,303.5,290.0,False
CDLBREAKAWAY,,,293.5,1273.0,31.0,327.5,303.5,290.0,False
CDLCONCEALBABYSWALL,,,293.5,1273.0,30.0,327.5,303.5,290.0,False
CDLCOUNTERATTACK,,,146.0,1273.0,29.0,327.5,303.5,290.0,False
CDLDARKCLOUDCOVER,,,14.0,1273.0,29.0,327.5,303.5,290.0,False
CDLIDENTICAL3CROWS,,,145.0,1273.0,26.0,327.5,303.5,290.0,False
CDLINNECK,,,293.5,1273.0,26.0,327.5,303.5,290.0,False
CDLKICKING,,,200.0,1273.0,27.0,327.5,303.5,290.0,False
CDLKICKINGBYLENGTH,,,109.0,1273.0,30.0,327.5,303.5,290.0,False
CDLMATHOLD,,,293.5,1273.0,26.0,327.5,303.5,290.0,False
CDLONNECK,,,18.0,1273.0,30.0,327.5,303.5,290.0,False
CDLPIERCING,,,180.0,1273.0,30.0,327.5,303.5,290.0,False
CDLTHRUSTING,,,293.5,1273.0,26.0,327.5,303.5,290.0,False
CDLUPSIDEGAP2CROWS,,,220.0,1273.0,25.0,327.5,303.5,290.0,False
Funding_Rate,,,293.5,1273.0,23.0,327.5,303.5,290.0,False
Funding_Rate_MA30,,,293.5,1273.0,23.0,327.5,303.5,290.0,False
Funding_Rate_MA7,,,67.0,1273.0,23.0,327.5,303.5,290.0,False
Funding_Rate_Momentum,,,293.5,1273.0,22.0,327.5,303.5,290.0,False
Funding_Rate_Std7,,,293.5,1273.0,19.0,327.5,303.5,290.0,False
GitHub_Commits_30d,,,293.5,1273.0,19.0,327.5,303.5,290.0,False
GitHub_Contributors,,,293.5,1273.0,20.0,327.5,303.5,290.0,False
GitHub_Forks,,,158.0,1273.0,20.0,327.5,303.5,290.0,False
GitHub_Issues_Open,,,293.5,1273.0,21.0,327.5,303.5,290.0,False
GitHub_PRs_Open,,,293.5,1273.0,22.0,327.5,303.5,290.0,False
GitHub_Stars,,,293.5,1273.0,22.0,327.5,303.5,290.0,False
LS_LongAccount,,,225.0,1273.0,23.0,327.5,303.5,290.0,False
LS_Ratio,,,101.0,1273.0,22.0,327.5,303.5,290.0,False
LS_ShortAccount,,,116.0,1273.0,21.0,327.5,303.5,290.0,False
PriceBTC,,,293.5,1273.0,19.0,327.5,303.5,290.0,False
SplyAdrBalNtv1M,,,107.0,1273.0,29.0,327.5,303.5,290.0,False
Top_Trader_LS_Ratio,,,293.5,1273.0,28.0,327.5,303.5,290.0,False
