Rank,Feature,Mean |SHAP|
1,OBV,0.046161
2,Close,0.018582
3,logret_1d,0.01839
4,High,0.016827
5,Dist_to_SMA200,0.016615
6,Open,0.012884
7,Low,0.012755
8,Drawdown_from_ATH,0.010014
9,RSI_14,0.008213
10,Sharpe_30d,0.008178
11,ROI30d,0.007975
12,BB_PercentB_20,0.006104
13,Volume,0.005444
14,Stoch_D_14_3,0.003348
15,Stoch_K_14_3,0.003348
