Date,Open,High,Low,Close,Volume,MVRV,RealizedPrice,Short_Term_Holder_SOPR,Supply_in_Loss,Spent_Output_Profit_Ratio__SOPR_Day__1,Net_Realized_Profit_and_Loss__NRPL,RSI_14,UTXOs_in_Loss,UTXOs_in_Loss_pct,Supply_in_Loss_pct,Dist_to_SMA200,Adjusted_SOPR__aSOPR,Price_to_Realized,MVRV_z_365,ROI30d,BB_PercentB_20,Drawdown_from_ATH,Sharpe_30d,Supply_in_Profit_pct,OBV,UTXOs_in_Profit_pct,CapMVRVCur,Supply_in_Profit,logret_1d,Stoch_K_14_3,Net_Unrealized_Loss__NUL,Realized_Cap_UTXO_Age_Bands_pct,Stoch_D_14_3,y
2013-01-03,13.24,13.24,13.05,13.1,788.92998848,1.768275402426975,7.510485524340351,0.99979379,2012487.40344174,1.00026776,6908.84829496,,771078.0,23.63453125,18.94651467,,1.00100245,1.7442281138209874,,,,0.0,,78.08914944,788.92998848,75.27900332,1.7682754,8294582.52977037,,,0.02316103,5.243595,,0.0
2013-01-04,13.1,13.23,12.77,13.06,3514.99889241,1.7803766889689223,7.517555824774579,1.00385922,1490557.98698777,1.00249152,57871.75780177,,606809.0,18.51700744,14.02747415,,1.00749033,1.737266779843516,,,,-0.3053435114503752,,82.70457046,-2726.0689039299996,80.39707223,1.78037669,8788179.31003098,-0.003058106358820773,,0.02144796,5.90661939,,1.0
2013-01-05,13.06,13.26,12.96,13.1,2825.20373104,1.7867037576404343,7.528792107867273,1.01185603,1014303.29763883,1.00358854,112218.50888466,,416830.0,12.67985666,9.54205983,,1.01397984,1.739986947748371,,,,0.0,,86.75972179,99.13482711000051,85.98924967,1.78670376,9222397.8372186,0.0030581063588208724,,0.02037651,6.37468882,,1.0
2013-01-06,13.1,13.24,12.84,13.17,3234.35570488,1.786414023177315,7.534315445455419,1.00065821,1355234.39103083,1.00079152,22288.33753384,,538667.0,16.30543491,12.74514314,,1.00318949,1.7480022034309617,,,,0.0,,83.98044031,3333.4905319900004,82.52862631,1.78641402,8929925.66809105,0.005329285548083833,,0.02100242,5.84284875,,0.0
2013-01-07,13.17,13.22,13.1,13.14,1120.12342427,1.79112313116777,7.539680702512891,1.00267908,1276882.65061952,1.0014373,21194.30978726,,510059.0,15.37292358,12.00420103,,1.00333651,1.7427793720257392,,,,-0.22779043280181746,,85.19344108,2213.3671077200006,83.55215113,1.79112313,9061996.42547478,-0.0022805026987252177,,0.0208238,5.0706562,,1.0
2013-01-08,13.14,13.15,13.03,13.15,949.95328706,1.7960905532283016,7.547537975430455,1.00750796,885987.07982878,1.00385211,77606.94339157,,361398.0,10.84950862,8.32603468,,1.0099875,1.7422900080539208,,,,-0.15186028853454497,,88.35161592,3163.3203947800007,87.96268277,1.79609055,9401641.14122863,0.0007607455673091321,,0.01965004,5.9825884,,1.0
2013-01-09,13.15,13.2,13.04,13.2,2155.99999856,1.8206496091510265,7.5689196657865505,1.0158886,698102.99113979,1.0063848,186985.55265575,,280466.0,8.43248086,6.55835083,,1.0183936,1.7439741182176063,,,,0.0,,89.58253257,5319.320393340001,90.49067654,1.82064961,9535603.62997597,0.0037950709685515343,,0.01857591,7.01040651,,1.0
2013-01-10,13.2,13.45,13.05,13.45,6617.3748104,1.823785180971369,7.578170609552766,1.00736121,696119.99959535,1.00292789,69020.79126898,,280454.0,8.41210162,6.53772544,,1.00776891,1.774834678839959,,,,0.0,,89.96318969,11936.69520374,90.46844045,1.82378518,9579046.44165116,0.018762276455523034,,0.01819895,6.36194346,,1.0
2013-01-11,13.45,13.62,13.22,13.61,4357.03081648,1.85730886528051,7.604105660426582,1.02668298,634027.1751643,1.01431357,265671.63554337,,202779.0,6.06815895,5.95251599,,1.03152953,1.789822578456451,,,,0.0,,90.57350273,16293.726020220001,92.73011342,1.85730887,9647359.56044826,0.011825710615526541,,0.01608826,6.62675246,,1.0
2013-01-12,13.61,14.19,13.18,13.9,5192.04181785,1.8667613826881533,7.62155316404033,1.01303914,810310.67663585,1.0073328,136809.28889935,,231979.0,6.91076383,7.60545172,,1.01587652,1.8237752464395782,,,,0.0,,88.967987,21485.76783807,91.88868016,1.86676138,9478951.73053128,0.02108402347327133,,0.01609893,6.36098408,,1.0
